Numéro ED	Idref	Libellé ED	id_ed
549	161141757	École doctorale Santé, Sciences Biologiques et Chimie du Vivant	B9ggO
563	178085693	École doctorale Médicament - Toxicologie - Chimie - Imageries	j8uk1
575	188161546	École doctorale Electrical, Optical, Bio-Physics and Engineering / Physique et ingénierie : electrons, photons, sciences du vivant	dfhyn
583	191566624	École doctorale Risques et Société	wUBi9
586	10146049X	École doctorale Sciences Humaines et Sociales	0RKVX
597	267605285	École doctorale Sciences économiques et sciences de Gestion - Bretagne	d8Zuu
598	204770696	École doctorale Sciences de La Mer et du Littoral	Smen6
599	267605587	École doctorale Droit et Science Politique - Bretagne	6rwtT
601	267602553	École doctorale Mathématiques, Télécommunications, Informatique, Signal, Systèmes et Électronique	3Ue20
618	233448314	École doctorale EUCLIDE	qveTN
626	238346153	École doctorale de l’Institut Polytechnique de Paris	DL5fO
633	258545259	École doctorale Cultures, Sociétés, Territoires	54818
641	268274525	École doctorale Mathématiques et Sciences et Technologies du numérique, de l’Information et de la Communication	
646	268887322	École doctorale Education, Langages, Interactions, Cognition, Clinique, Expertise	
649	264813324	École doctorale Rosalind Franklin – Energie, Environnement, Biosanté	
9	058709355	École doctorale Droit international, droit européen, relations internationales et droit comparé	v1emR
31	110349164	École doctorale Pratiques et théories du sens	1S466
37	161798322	École doctorale Sciences physiques pour l'ingénieur et microtechniques	F7G1B
60	188803424	École doctorale Territoires, temps, sociétés et développement	fkIh6
79	112329225	École doctorale Sciences juridiques, politiques, économiques et de gestion	ea4x6
86	197148956	École doctorale Sociétés, humanités nouvelles, arts et lettres	O8E6y
104	148937330	École doctorale Sciences de la matière, du rayonnement et de l'environnement	Q5iFz
105	149121326	École doctorale Terre, univers, environnement	lcWAf
119	079200877	École doctorale Science politique	eyibb
129	164432566	École doctorale Sciences de l'environnement d'Ile de France	TnAPh
141	110594282	École doctorale Droit et science politique	CyNBf
146	177539771	École doctorale Santé - Galilée	71hqm
158	156375176	École doctorale Cerveau, cognition, comportement	Il62F
209	151367647	École doctorale Sciences physiques et de L'ingénieur	tZcIZ
266	10964025X	École doctorale Biologie, santé, environnement	386V9
304	151367981	École doctorale Sciences et environnements	2ywZn
356	15328434X	École doctorale Cognition, langage, éducation	55Cpz
361	203037979	École doctorale Sciences pour l'ingénieur	cOUmL
364	059552867	École doctorale Sciences fondamentales et appliquées	E483q
370	148544088	École doctorale Lettres, sciences humaines et sociales	xAXXx
